                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1551135534.486773753 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.487899346 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.489011108 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.490080055 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.491198465 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.492305632 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.493432481 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.494509201 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.495581330 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
1551135534.496666606 |          0.001967354 |              4321280 |          1 |          3 |          0 |          0
