                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1550761468.493379166 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493416323 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493442250 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493466839 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493490950 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493516419 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493536791 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493554251 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493571747 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
1550761468.493589118 |          0.002357775 |            104620032 |          1 |          5 |          0 |          0
