                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1550594699.080551747 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080562538 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080573463 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080584393 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080595236 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080606151 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080617018 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080627907 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080638777 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080649571 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080660412 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080671333 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080682299 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080693508 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080704397 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080715220 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080726057 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080737000 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080747952 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080758717 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
