                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1550594699.079774827 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079788515 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079799676 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079810581 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079821498 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079832676 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079843499 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079854353 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079865195 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079876000 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079886896 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079897719 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079908520 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079919426 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079930302 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079941219 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079952039 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079962937 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079973940 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079984918 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.079995814 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080006681 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080017575 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080028533 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080039360 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080050179 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080061047 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080071914 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080082776 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080093638 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080104599 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080115500 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080126609 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080137459 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080148266 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080159141 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080170073 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080180972 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080191975 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080202918 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080213990 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080224824 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080235732 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080246564 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080257395 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080268255 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080279127 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080289985 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080300890 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080311684 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080322508 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080333432 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080344435 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080355233 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080366092 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080376996 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080387849 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080398933 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080409928 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080420872 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080431734 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080442730 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080453608 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080464400 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080475417 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080486294 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080497167 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080508174 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080519103 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080529873 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
1550594699.080540781 |          0.000376169 |            104620032 |          0 |          5 |          0 |          0
