                Time |                  CPU |               Memory |   Children |      Files |    Sockets |      Pipes
1550594699.079764316 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079782601 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079794643 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079805602 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079816435 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079827519 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079838519 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079849322 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079860195 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079871074 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079881855 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079892712 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079903552 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079914427 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079925292 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079936186 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079947048 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079957928 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079968821 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079979831 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.079990773 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.080001657 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.080012541 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.080023434 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.080034387 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
1550594699.080045172 |          0.002130551 |            104620032 |          1 |          5 |          0 |          0
